0.035761,0.0035761,0.025033,0.28966,0.13232,0.010728,0.035761,0.014304
0.0067663,0.011047,0.0093853,0.050874,0.11193,0.00095707,0.0067663,0.0048522
0.10736,0.0048665,0.028004,0.075723,0.15001,0.0081522,0.010805,0.0088046
0.0524,0.0016668,0.030367,0.099019,0.065871,0.015986,0.04021,0.027395
0.045761,0.033924,0.050715,0.33872,0.35988,0.038792,0.04717,0.026156
0.024024,0.040446,0.076338,0.38486,0.40453,0.12794,0.12254,0.024699
0.039532,0.040266,0.075448,0.30868,0.18002,0.05324,0.029229,0.023013
0.088527,0.036337,0.027697,0.1384,0.19497,0.039319,0.034402,0.028239
0.038066,0.017602,0.039778,0.16642,0.30723,0.02396,0.047094,0.01597
0.039989,0.029249,0.060005,0.14285,0.31799,0.046443,0.057239,0.027538
0.045551,0.027578,0.049729,0.20613,0.31793,0.049402,0.046672,0.025786
0.062211,0.032812,0.088392,0.39977,0.27743,0.048902,0.049278,0.030936
0.044464,0.034847,0.087434,0.21313,0.27159,0.041036,0.044811,0.03646
0.060686,0.029803,0.078927,0.21939,0.24288,0.064501,0.057678,0.035223
0.056777,0.052804,0.058634,0.35436,0.3002,0.039864,0.064403,0.0266
0.17034,0.059885,0.086338,0.51859,0.35119,0.04501,0.071553,0.052854
0.18658,0.099602,0.19144,0.42457,0.50954,0.079104,0.079133,0.034883
0.22869,0.042528,0.16976,0.2846,0.39125,0.066056,0.072864,0.10096
0.18092,0.05868,0.15976,0.38831,0.49677,0.051576,0.065781,0.047658
0.13523,0.072574,0.16616,0.40394,0.48177,0.0821,0.065009,0.046463
0.37812,0.055348,0.12256,0.61657,0.42103,0.079444,0.06756,0.062895
0.38122,0.072111,0.16035,0.45361,0.50359,0.10492,0.2168,0.069943
0.24737,0.079494,0.19759,0.61038,0.41364,0.08236,0.17175,0.088149
0.23255,0.1195,0.14113,0.51875,0.61815,0.11827,0.2328,0.12208
0.22997,0.0949,0.22205,0.64249,0.4573,0.11066,0.11634,0.076498
0.41599,0.082014,0.16677,0.53613,0.67004,0.11991,0.12819,0.12658
0.35334,0.096308,0.31686,0.77612,0.68967,0.09747,0.17296,0.10581
0.26223,0.14026,0.4906,0.55316,0.85568,0.21574,0.13915,0.097083
0.34427,0.15568,0.34983,0.92322,0.85218,0.11184,0.13396,0.15877
0.28985,0.10765,0.2484,0.64526,0.73127,0.11957,0.14227,0.10054
0.34048,0.10849,0.35142,0.9481,0.66162,0.12409,0.15814,0.15103
0.39484,0.11985,0.35925,0.74676,0.86274,0.17521,0.1715,0.11279
0.3244,0.16768,0.3667,0.87101,0.78674,0.17685,0.18193,0.14932
